name,code,country,lat,lon,elev,id,peak_name,peak_lon,peak_lat,summit_lon,summit_lat,min_lon,min_lat,max_lon,max_lat,min_height,max_height,bbox_width,bbox_height,bbox_depth
Pic des Hermintans,PicdesHe,FR,42.7248,0.4616,2840.0m,138,Pic des Hermintans,0.4616,42.7248,0.4613888888888889,42.724722222222226,0.4588888888888889,42.721944444444446,0.46416666666666667,42.7275,2533,2837,20,21,294
Pic des Spijeoles,PicdesSp,FR,42.710116666666664,0.4848166666666666,3065.0m,140,Pic des Spijeoles,0.4848166666666666,42.710116666666664,0.48444444444444446,42.710277777777776,0.48194444444444445,42.7075,0.4872222222222222,42.71277777777778,2697,3036,20,20,329
Pic du Burat,PicduBur,FR,42.85935,0.67085,2154.0m,141,Pic du Burat,0.67085,42.85935,0.67,42.85916666666667,0.6680555555555555,42.85666666666667,0.6727777777777778,42.86194444444445,1891,2152,18,20,251
Pic du Crabere,PicduCra,FR,42.82575,0.8584999999999999,2630.0m,142,Pic du Crabere,0.8584999999999999,42.82575,0.8580555555555556,42.825,0.8558333333333333,42.823055555555555,0.8608333333333333,42.82777777777778,2342,2614,19,18,262
Pic du Cresp,PicduCre,FR,42.95375,0.6905166666666667,1650.0m,143,Pic du Cresp,0.6905166666666667,42.95375,0.6902777777777778,42.954166666666666,0.6877777777777778,42.95138888888889,0.6930555555555555,42.95638888888889,1353,1639,20,19,276
Pic du Gar,PicduGar,FR,42.95028333333333,0.6987166666666667,1785.0m,144,Pic du Gar,0.6987166666666667,42.95028333333333,0.6986111111111111,42.95055555555556,0.6958333333333333,42.94777777777778,0.7013888888888888,42.95305555555556,1539,1777,21,20,228
Pic du Lion,PicduLio,FR,42.85191666666667,0.46026666666666666,2102.0m,145,Pic du Lion,0.46026666666666666,42.85191666666667,0.4602777777777778,42.85194444444445,0.4575,42.84916666666667,0.46305555555555555,42.85472222222222,1961,2107,21,21,136
Pic du Maupas,PicduMau,FR,42.70141666666667,0.5455833333333333,3109.0m,146,Pic du Maupas,0.5455833333333333,42.70141666666667,0.5466666666666666,42.70138888888889,0.5438888888888889,42.69861111111111,0.5483333333333333,42.704166666666666,2706,3063,17,21,347
Pic du Pouch,PicduPou,FR,42.8805,0.6897666666666668,1473.0m,147,Pic du Pouch,0.6897666666666668,42.8805,0.6883333333333334,42.879444444444445,0.6869444444444445,42.87777777777778,0.6911111111111111,42.882222222222225,1265,1524,16,17,249
Pic d’Arrès,Picd’Arr,FR,42.74366666666667,0.6633666666666667,2161.0m,148,Pic d’Arrès,0.6633666666666667,42.74366666666667,0.6630555555555555,42.74333333333333,0.6605555555555556,42.740833333333335,0.6658333333333333,42.74611111111111,1981,2162,20,20,171
Pic d’Escales,Picd’Esc,FR,42.898783333333334,0.7756833333333333,1816.0m,149,Pic d’Escales,0.7756833333333333,42.898783333333334,0.775,42.89888888888889,0.7727777777777778,42.89611111111111,0.7777777777777778,42.90166666666667,1621,1809,19,21,178
Pic d’Espingo,Picd’Esp,FR,42.7388,0.4624833333333333,2856.0m,150,Pic d’Espingo,0.4624833333333333,42.7388,0.4625,42.73972222222223,0.4597222222222222,42.73694444444445,0.4652777777777778,42.74166666666667,2605,2852,21,18,237
Pic d’Estauas/Tuca de Gorgutes,Picd’Est,ES,42.701116666666664,0.5933166666666666,2749.0m,152,Pic d’Estauas/Tuca de Gorgutes,0.5933166666666666,42.701116666666664,0.5925,42.70027777777778,0.5905555555555555,42.69833333333334,0.5952777777777778,42.70305555555556,2467,2737,18,18,260
Pic d’Estiouère,Picd’Est,FR,42.74556666666667,0.43785,2619.0m,153,Pic d’Estiouère,0.43785,42.74556666666667,0.43666666666666665,42.74666666666667,0.435,42.74388888888889,0.4394444444444444,42.748333333333335,2329,2593,17,17,254
Pic Gourdon,PicGourd,FR,42.7053,0.4830166666666667,3034.0m,154,Pic Gourdon,0.4830166666666667,42.7053,0.48333333333333334,42.705,0.48055555555555557,42.7025,0.48583333333333334,42.70777777777778,2740,3011,20,20,261
Pic Lézat,PicLézat,FR,42.707366666666665,0.5166499999999999,3101.0m,155,Pic Lézat,0.5166499999999999,42.707366666666665,0.5169444444444444,42.708333333333336,0.5141666666666667,42.705555555555556,0.5194444444444444,42.710277777777776,2704,3048,20,18,334
Pic Marcel Spont,PicMarce,FR,42.71946666666667,0.46941666666666665,2944.0m,156,Pic Marcel Spont,0.46941666666666665,42.71946666666667,0.4708333333333333,42.719166666666666,0.46805555555555556,42.71666666666667,0.4722222222222222,42.721944444444446,2600,2928,16,20,318
Pic Penjat,PicPenja,FR,42.71176666666667,0.64245,2113.0m,157,Pic Penjat,0.64245,42.71176666666667,0.6411111111111112,42.710277777777776,0.6397222222222222,42.70888888888889,0.643888888888889,42.713055555555556,1871,2248,16,16,367
Pic Plumieres,PicPlumi,FR,42.882583333333336,0.7717166666666666,1486.0m,158,Pic Plumieres,0.7717166666666666,42.882583333333336,0.7722222222222223,42.88333333333333,0.7694444444444445,42.88055555555556,0.7744444444444445,42.88527777777778,1306,1494,19,18,178
Pic Sarnès,PicSarnè,FR,42.72975,0.5290166666666667,2600.0m,160,Pic Sarnès,0.5290166666666667,42.72975,0.5283333333333333,42.72944444444445,0.5261111111111111,42.72694444444445,0.5311111111111111,42.73222222222223,2315,2593,19,20,268
Pica de Horadic,PicadeHo,ES,42.8387,0.8107500000000001,2116.0m,161,Pica de Horadic,0.8107500000000001,42.8387,0.8108333333333333,42.83861111111111,0.8080555555555555,42.83583333333333,0.8136111111111111,42.84138888888889,1836,2109,21,21,263
Pico Camboué,PicoCamb,FR,42.70235,0.47154999999999997,3043.0m,163,Pico Camboué,0.47154999999999997,42.70235,0.47305555555555556,42.700833333333335,0.4702777777777778,42.699444444444445,0.47444444444444445,42.703611111111115,2757,3079,16,16,312
Pico de Clarabide,PicodeCl,ES,42.69478333333333,0.46746666666666664,3019.0m,164,Pico de Clarabide,0.46746666666666664,42.69478333333333,0.4683333333333333,42.69527777777778,0.46555555555555556,42.6925,0.4702777777777778,42.697500000000005,2686,3013,18,19,317
Pico de Gías,PicodeGí,ES,42.693416666666664,0.4701666666666667,3013.0m,165,Pico de Gías,0.4701666666666667,42.693416666666664,0.4688888888888889,42.694722222222225,0.46749999999999997,42.691944444444445,0.4716666666666667,42.696111111111115,2738,3010,16,16,262
Pico de Remuñe,PicodeRe,ES,42.684416666666664,0.5526833333333333,2886.0m,166,Pico de Remuñe,0.5526833333333333,42.684416666666664,0.5538888888888889,42.685,0.5511111111111111,42.68222222222222,0.5555555555555556,42.687222222222225,2588,2876,17,19,278
Pico Perdigueret,PicoPerd,ES,42.6798,0.5349833333333333,2808.0m,167,Pico Perdigueret,0.5349833333333333,42.6798,0.5349999999999999,42.679722222222225,0.5322222222222222,42.676944444444445,0.5377777777777778,42.682500000000005,2446,2782,21,21,326
Pico Portillón de Oô,PicoPort,FR,42.6927,0.5073666666666666,3050.0m,168,Pico Portillón de Oô,0.5073666666666666,42.6927,0.5069444444444444,42.69222222222222,0.5047222222222223,42.690000000000005,0.5097222222222222,42.695,2648,2968,19,19,310
